InfraProTrack API starting up...
Database tables verified / created.
Ready at http://localhost:5002
Swagger docs: http://localhost:5002/docs
ReDoc:        http://localhost:5002/redoc
INFO:     127.0.0.1:61561 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:63619 - "POST /api/agents/events/batch HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:63619 - "GET /api/agents/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:49287 - "GET /api/agents/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:49287 - "POST /api/agents/heartbeat HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/agents/pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:49287 - "POST /api/agents/events/batch HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:49288 - "GET /api/agents/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:49289 - "GET /api/agents/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:49289 - "POST /api/agents/heartbeat HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/analytics/top-apps HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:61505 - "GET /api/reports/productivity-summary?group_by=employee HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
INFO:     127.0.0.1:50649 - "GET /api/analytics/top-domains HTTP/1.1" 200 OK
INFO:     127.0.0.1:49403 - "GET /api/reports/productivity-summary?group_by=manager HTTP/1.1" 200 OK
INFO:     127.0.0.1:58499 - "GET /api/reports/productivity-summary?group_by=project HTTP/1.1" 200 OK
INFO:     127.0.0.1:61561 - "GET /api/dashboard/admin HTTP/1.1" 200 OK
INFO:     127.0.0.1:60536 - "GET /api/reports/productivity-summary?group_by=shift HTTP/1.1" 200 OK
